,Drug Name,Composition,Concentration,Pharmaceutical Form
263,METHYLDOPATE,,250 MG,
264,METHYLDOPATE,,250 MG,
265,METHYLDOPATE,,250 MG,
266,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
267,METOPROLOL,SALT TARTARATE,100 MG,
268,METHYLDOPATE,,250 MG,
269,METHYLDOPATE,,250 MG,
270,METHYLDOPATE,,250 MG,
271,METHYLDOPATE,,250 MG,
272,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
273,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
274,METOPROLOL,SALT TARTARATE,100 MG,
275,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
276,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
277,METHYLDOPATE,,250 MG,
278,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
279,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
280,METHYLDOPATE,,250 MG,
281,METHYLDOPATE,,250 MG,
282,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
283,METOPROLOL,SALT TARTARATE,100 MG,
284,METOPROLOL,SALT TARTARATE,100 MG,
285,METOPROLOL,SALT TARTARATE,100 MG,
286,METHYLDOPATE,,250 MG,
287,METOPROLOL,SALT TARTARATE,100 MG,
288,METOPROLOL,SALT TARTARATE,100 MG,
289,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
290,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
291,METHYLDOPATE,,250 MG,
292,METOPROLOL,SALT TARTARATE,100 MG,
293,METOPROLOL,SALT TARTARATE,100 MG,
294,METHYLDOPATE,,250 MG,
295,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
296,METHYLDOPATE,,250 MG,
297,METHYLDOPATE,,250 MG,
298,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
299,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
300,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
301,METHYLDOPATE,,250 MG,
302,METHYLDOPATE,,250 MG,
303,METHYLDOPATE,,250 MG,
304,METHYLDOPATE,,250 MG,
305,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
306,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
307,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
308,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
309,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
310,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
311,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
312,METHYLDOPATE,,250 MG,
313,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
314,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
315,METHYLDOPATE,,250 MG,
316,METHYLDOPATE,,250 MG,
317,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
318,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
319,METHYLDOPATE,,250 MG,
320,METHYLDOPATE,,250 MG,
321,METHYLDOPATE,,250 MG,
322,METHYLDOPATE,,250 MG,
323,METHYLDOPATE,,250 MG,
324,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
325,METOPROLOL,SALT TARTARATE,100 MG,
326,METHYLDOPATE,,500 MG,
327,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
328,METOPROLOL,SALT TARTARATE,100 MG,
329,METOPROLOL,SALT TARTARATE,100 MG,
330,METOPROLOL,SALT TARTARATE,100 MG,
331,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
332,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
333,METHYLDOPATE,,250 MG,
334,METHYLDOPATE,,250 MG,
335,METHYLDOPATE,,250 MG,
336,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
337,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
338,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
339,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
340,METHYLDOPATE,,250 MG,
341,METHYLDOPATE,,250 MG,
342,METHYLDOPATE,,250 MG,
343,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
344,METHYLDOPATE,,250 MG,
345,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
346,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
347,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
348,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
349,METHYLDOPATE,,250 MG,
350,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
351,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
352,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
353,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
354,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
355,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
356,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
357,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
358,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
359,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
360,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
361,METHYLDOPATE,,250 MG,
362,METHYLDOPATE,,250 MG,
363,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
364,METOPROLOL,SALT TARTARATE,100 MG,
365,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
366,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
367,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
368,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
369,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
370,METOPROLOL,SALT TARTARATE,100 MG,
371,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
372,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
373,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
374,METOPROLOL,SALT TARTARATE,100 MG,
375,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
376,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
377,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
378,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
379,METHYLDOPATE,,250 MG,
380,METHYLDOPATE,,250 MG,
381,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
382,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
383,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
384,METHYLDOPATE,,250 MG,
385,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
386,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
387,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
388,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
389,METHYLDOPATE,,250 MG,
390,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
391,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
392,METHYLDOPATE,,250 MG,
393,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
394,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
395,METOPROLOL,SALT TARTARATE,100 MG,
396,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
397,METOPROLOL,SALT TARTARATE,100 MG,
398,METOPROLOL,SALT TARTARATE,100 MG,
399,METOPROLOL,SALT TARTARATE,100 MG,
400,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
401,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
402,METOPROLOL,SALT TARTARATE,100 MG,
403,METHYLDOPATE,,500 MG,
404,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
405,METHYLDOPATE,,500 MG,
406,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
407,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
408,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
409,METHYLDOPATE,,250 MG,
410,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
411,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
412,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
413,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
414,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
415,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
416,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
417,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
418,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
419,METHYLDOPATE,,500 MG,
420,METHYLDOPATE,,250 MG,
421,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
422,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
423,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
424,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
425,METHYLDOPATE,,250 MG,
426,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
427,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
428,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
429,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
430,METHYLDOPATE,,500 MG,
431,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
432,METOPROLOL,SALT TARTARATE,100 MG,
433,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
434,METOPROLOL,SALT TARTARATE,100 MG,
435,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
436,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
437,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
438,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
439,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
440,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
441,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
442,METHYLDOPATE,,250 MG,
443,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
444,METHYLDOPATE,,500 MG,
445,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
446,METOPROLOL,SALT TARTARATE,100 MG,
447,METHYLDOPATE,,250 MG,
448,METOPROLOL,SALT TARTARATE,100 MG,
449,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
450,METOPROLOL,SALT TARTARATE,100 MG,
451,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
452,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
453,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
454,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
455,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
456,METHYLDOPATE,,250 MG,
457,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
458,METHYLDOPATE,,500 MG,
459,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
460,METHYLDOPATE,,500 MG,
461,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
462,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
463,METHYLDOPATE,,250 MG,
464,METHYLDOPATE,,250 MG,
465,METHYLDOPATE,,250 MG,
466,METHYLDOPATE,,500 MG,
467,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
468,METHYLDOPATE,,500 MG,
469,METHYLDOPATE,,500 MG,
470,METHYLDOPATE,,500 MG,
471,METHYLDOPATE,,500 MG,
472,METHYLDOPATE,,500 MG,
473,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
474,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
475,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
476,METHYLDOPATE,,500 MG,
477,METHYLDOPATE,,500 MG,
478,METHYLDOPATE,,500 MG,
479,METHYLDOPATE,,500 MG,
480,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
481,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
482,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
483,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
484,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
485,METOPROLOL,SUCCINATE SALT,100 MG,CONTROLLED RELEASE
486,METHYLDOPATE,,250 MG,
